"Product ","Member Level ","Quantity ","Price ","Price Post Tax "
"","","7 g","$35.00","$35.00"
"","","14 g","$66.67","$66.67"
"","","28 g","$125.00","$125.00"
"","","56 g","$241.67","$241.67"
"Blue Magoo PP 3.5g","Non-Member","1 g","$5.83","$5.83"
"","","3.5 g","$19.17","$19.17"
"","","4 g","$19.17","$19.17"
"","","7 g","$35.00","$35.00"
"","","14 g","$66.67","$66.67"
"","","28 g","$125.00","$125.00"
"","","56 g","$241.67","$241.67"
"Blue Magoo PP 7g","Non-Member","1 g","$5.83","$5.83"
"","","3.5 g","$19.17","$19.17"
"","","4 g","$19.17","$19.17"
"","","7 g","$35.00","$35.00"
"","","14 g","$66.67","$66.67"
"","","28 g","$125.00","$125.00"
"","","56 g","$241.67","$241.67"
"Blue Magoo cart LR 1g","Non-Member","1 ","$35.00","$35.00"
"Blueberry Diesel OG cart Dist 1g","Non-Member","1 ","$29.17","$29.17"
"Blueberry Diesel budder 1g","Non-Member","1 ","$16.67","$16.67"
"Blueberry Diesel x OT PP 28g","Non-Member","28 ","$16.67","$16.67"
"Blueberry Diesel x Triple OG JNT 0.5g 5pk","Non-Member","1 ","$8.33","$8.33"
"Blueberry Diesel x Triple OG PP 1g","Non-Member","1 g","$8.33","$8.33"
"","","3.5 g","$26.67","$26.67"
"","","4 g","$26.67","$26.67"
"","","7 g","$48.33","$48.33"
"","","14 g","$87.50","$87.50"
"","","28 g","$166.67","$166.67"
"","","56 g","$325.00","$325.00"
"","Standard Member","1 g","$8.33","$8.33"
"Blueberry Diesel x Triple OG PP 3.5g","Non-Member","1 g","$8.33","$8.33"
"","","3.5 g","$26.67","$26.67"
"","","4 g","$26.67","$26.67"
"","","7 g","$48.33","$48.33"
"","","14 g","$87.50","$87.50"
"","","28 g","$166.67","$166.67"
"","","56 g","$325.00","$325.00"
"","Standard Member","1 g","$8.33","$8.33"
"Blueberry Diesel x Triple OG PP 7g","Non-Member","1 g","$8.33","$8.33"
"","","3.5 g","$26.67","$26.67"
"","","4 g","$26.67","$26.67"
"","","7 g","$48.33","$48.33"
"","","14 g","$87.50","$87.50"
"","","28 g","$166.67","$166.67"
"","","56 g","$325.00","$325.00"
"","Standard Member","1 g","$8.33","$8.33"
"Blueberry Muffin JNT 0.5g 10pk","Non-Member","1 ","$15.00","$15.00"
"Blueberry Muffin JNT 0.5g 5pk","Non-Member","1 ","$10.00","$10.00"
